OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-CT,USGS Connecticut Water Science Center,USGS-01201487,"STILL RIVER AT ROUTE 7 AT BROOKFIELD CENTER, CT",Stream,,01100005,62.3,sq mi,,,41.46582220000000,-73.4032027800000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,256.18,feet,.01,feet,Level or other surveyed method.,NGVD29,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-012035014,"POOTATUCK RIVER AT RTE 25 AT BOTSFORD, CT",Stream,,01100005,10.7,sq mi,,,41.37616944000000,-73.2735417000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,335,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01208760,"HOUSATONIC R. AT BEACON PT MARINA NEAR SHELTON, CT",Stream: Tidal stream,,01100005,1900,sq mi,,,41.27243610000000,-73.0896583000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,0.00,feet,.03,feet,Level or other surveyed method.,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-012087991,"FARMILL RIVER AT MOHEGAN RD NEAR SHELTON, CT",Stream,,01100005,3.71,sq mi,,,41.30089720000000,-73.1956638900000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,380,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01208822,"HOUSATONIC RIVER AT SIKORSKY NEAR STRATFORD, CT",Estuary,,01100005,1930,sq mi,,,41.25322500000000,-73.0883888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,0,feet,1,feet,Interpolated from topographic map.,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01208837,"HOUSATONIC RIVER NR NELLS ISLAND NR STRATFORD, CT",Estuary,,02030203,,,,,41.18843330000000,-73.1212527800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,2,feet,.1,feet,Interpolated from topographic map.,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01208873,"ROOSTER RIVER AT FAIRFIELD, CT",Stream,,01100006,10.6,sq mi,,,41.17981890000000,-73.2190021900000,24000,1,seconds,Interpolated from MAP.,NAD83,5.44,feet,5,feet,Interpolated from topographic map.,NGVD29,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01208925,"MILL RIVER NEAR FAIRFIELD, CT",Stream,,01100006,28.6,sq mi,,,41.16547500000000,-73.2700083000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,15.89,feet,5.,feet,Interpolated from topographic map.,NGVD29,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01208948,SASCO BK AT SOUTHPORT ON INGLESIDE RD ABV BANKS PD,Stream,,01100006,5.38,sq mi,,,41.16204096000000,-73.3117831000000,24000,1,seconds,Interpolated from MAP.,NAD83,81,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01208950,"SASCO BROOK NEAR SOUTHPORT, CT",Stream,,01100006,7.38,sq mi,,,41.15287436000000,-73.3059495000000,,1,seconds,Interpolated from MAP.,NAD83,52.01,feet,5.,feet,Interpolated from topographic map.,NGVD29,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-012089695,"SASCO BROOK AT MOUTH AT SOUTHPORT, CT",Stream,,01100006,10.2,sq mi,,,41.12480278000000,-73.2988722000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,3,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01208984,"UMPAWAUG POND BROOK AT SIMPAUG TPKE NR REDDING, CT",Stream,,01100006,2.04,sq mi,,,41.31738330000000,-73.4441388900000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,437,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01208990,"SAUGATUCK RIVER NEAR REDDING, CT",Stream,,01100006,21.0,sq mi,,,41.29454000000000,-73.3951202900000,24000,1,seconds,Interpolated from MAP.,NAD83,284.48,feet,.01,feet,Level or other surveyed method.,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01209300,"W BR SAUGATUCK R AT WESTON, CT",Stream,,01100006,9.15,sq mi,,,41.19900000000000,-73.3899306000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,136,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01209500,"SAUGATUCK RIVER NEAR WESTPORT, CT",Stream,,01100006,79.8,sq mi,,,41.17073056000000,-73.3648167000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,17.10,feet,.01,feet,Level or other surveyed method.,NAVD88,US,09,001,,,,,,,,,,NWIS
USGS-CT,USGS Connecticut Water Science Center,USGS-01209510,"SAUGATUCK RIVER AT ROUTE 1 AT WESTPORT, CT",Estuary,,01100006,82.8,sq mi,,,41.14089444000000,-73.3630333000000,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,0,feet,.10,feet,Level or other surveyed method.,NAVD88,US,09,001,,,,,,,,,,NWIS
